"age_group","gender","pops_thousand"
"0-4","Perempuan",10014
"5-9","Perempuan",9844
"10-14","Perempuan",9708
"15-19","Perempuan",10701
"20-24","Perempuan",10300
"25-29","Perempuan",10453
"30-34","Perempuan",10143
"35-39","Perempuan",9383
"40-44","Perempuan",8270
"45-49","Perempuan",7179
"50-54","Perempuan",5826
"55-59","Perempuan",4340
"60-64","Perempuan",3228
"65-69","Perempuan",2450
"70-74","Perempuan",1924
"75+","Perempuan",2126
"0-4","Laki-Laki",10390
"5-9","Laki-Laki",10189
"10-14","Laki-Laki",10024
"15-19","Laki-Laki",11036
"20-24","Laki-Laki",10658
"25-29","Laki-Laki",10436
"30-34","Laki-Laki",9534
"35-39","Laki-Laki",8895
"40-44","Laki-Laki",8172
"45-49","Laki-Laki",7186
"50-54","Laki-Laki",6048
"55-59","Laki-Laki",4636
"60-64","Laki-Laki",3282
"65-69","Laki-Laki",2316
"70-74","Laki-Laki",1668
"75+","Laki-Laki",1637
